dataset,method,IBS_HM,mse,Max_brier,mae,mdape,fit_time,inference_time,r2,Max_brier_HM,IBS,mape,rmse,mean_roc,c_index,c_index_mean,mdape_t05,mdape_tE,mdape_tPDF
Azure,ElasticNet,0.1042688586851569,23695.11313746656,0.3740820369481697,112.52574662941788,0.4972213489532981,0.4358639717102051,0.5009050369262695,0.1272524439512267,0.4125514765407764,0.0961561544369003,2.261974851597849,153.93217057349173,0.4247794665597916,0.7421737951441716,,,,
Azure,RandomForest,0.0861668818232388,20384.792415637887,0.208226996132515,92.50763307688996,0.3370982286997532,8.142043113708496,3.611083745956421,0.2491794549324655,0.232550772588082,0.0784014844177316,0.9775946665634472,142.77532145170568,0.2969712106791744,0.770111970774102,,,,
Azure,TABPFNv2,0.0868579254501024,19692.65206842373,0.2506934129994639,93.18312078854724,0.3223994079620923,1.763998031616211,414.8880958557129,0.274672635444812,0.2838337263735876,0.0786362097595129,1.4277220735337972,140.33051011246175,0.3294564002929753,0.7843512938920293,,,,
Azure,CatBoost_W_,0.0849228807404458,18978.957835234312,0.2072410476334517,92.02487874549298,0.3635497012501673,16.500608444213867,0.8316898345947266,0.3009596970076149,0.233553905177572,0.0768843072626502,1.166022726274982,137.7641384222843,0.2958304871092399,0.7864454180494127,,,,
Azure,XGBoost,0.0879292228182507,20737.930023932524,0.214274505159531,95.06956417539388,0.3664245016005089,5.394801139831543,0.7729976177215576,0.2361725541930582,0.2389567421069304,0.0800023974914019,1.3132679256613002,144.00670131605864,0.3026312261663156,0.774135513458294,,,,
Azure,sktimeLSTMFCN,0.020133406552257,3168.76624337549,0.042665690192851,21.52492988479246,0.0384600099236448,2943.740636825561,10.37326693534851,0.8832867782250439,0.0554890711344197,0.0180386924664359,0.1099812133676973,56.291795524529945,0.0712266402391883,0.9596047379128672,,,,
Azure,sktimeInceptionTime,0.0139764022899443,2444.824921155652,0.0252309487857945,15.005219894980542,0.0133849182128906,2713.3823385238647,16.970587491989136,0.9099512645275404,0.0272957657245433,0.0140402634965612,0.0648168431710003,49.44517085778602,0.0540222445043631,0.9762205756568524,,,,
Azure,sktimeCNN,0.0491571898587542,13306.235336498148,0.143258439693179,52.907343229318194,0.0847682515058534,499.2868437767029,10.43544602394104,0.5098996023877931,0.1878145788603006,0.0448907178881689,0.336816980295715,115.35265639116489,0.2169051358228474,0.8816638501394704,,,,
Azure,sktimeFCN,0.0269017450346742,3726.4191741107247,0.0688412852239782,28.69768963505099,0.0764643005595464,444.4617745876312,11.444438695907593,0.8627470901636664,0.0836471789095772,0.0227401997437371,0.1778668950390383,61.04440329883424,0.0825486147486658,0.9459261960563552,,,,
Azure,sktimeResNet,0.0133118467623748,2767.2897678599184,0.023953067361954,14.307780754865778,0.0059513999621386,1145.89120221138,16.21976947784424,0.8980741147861535,0.0221393122382175,0.0144111378239392,0.0499935989594087,52.60503557512264,0.0460101602558068,0.9772156934770244,,,,
